Locus_tag,Gene_name,Rich_M9_ATC5_1.rep1,Rich_M9_ATC5_1.rep2,Rich_M9_ATC5_2.rep1,Rich_M9_ATC5_2.rep2,Rich_M9_No_ATC_1.rep1,Rich_M9_No_ATC_1.rep2,Rich_M9_No_ATC_2.rep1,Rich_M9_No_ATC_2.rep2
b2247,rhmD,0.948,0.293,0.173,0.346,0.443,0.074,1.208,1.133
b2248,yfaX,0.952,0,0.266,0.333,1.427,0.513,0.345,0.914
b2249,yfaY,50.262,38.634,43.671,45.729,53.771,37.422,66.914,69.773
b2250,yfaZ,21.868,33.121,25.768,27.247,26.294,35.614,25.436,21.689
b2251,nudI,26.825,24.073,22.467,19.322,26.79,17.403,42.428,29.326
b2252,ais,1.236,1.089,0.776,0.95,2.174,0.963,0.805,1.942
b2253,arnB,4.741,2.072,2.179,2.587,4.634,1.986,2.819,3.484
b2254,arnC,3.102,1.955,1.664,2.177,3.383,1.521,3.981,3.559
b2255,arnA,11.889,5.592,5.39,6.817,13.421,6.453,8.421,9.188
b2256,arnD,10.344,4.678,6.626,4.414,9.729,4.16,7.236,6.244
b2257,arnT,4.974,1.727,2.14,2.112,5.332,2.432,4.21,3.208
b2258,arnF,7.575,1.305,2.218,2.154,5.396,2.02,2.509,3.363
b2259,pmrD,50.986,60.736,55.523,64.387,57.84,51.52,47.891,40.941
b2260,menE,71.558,98.02,85.696,95.988,80.922,73.893,56.082,62.98
b2261,menC,105.894,176.212,155.291,168.89,112.534,137.951,115.301,132.939
b2262,menB,113.96,215.028,206.427,237.707,124.947,178.465,145.981,171.845
b2263,menH,30.799,19.835,16.756,20.763,20.699,17.064,33.836,35.277
b2264,menD,44.926,33.876,46.164,40.763,37.912,37.098,79.202,67.988
b2265,menF,70.519,40.774,39.554,38.649,64.208,34.272,54.328,54.675
b2266,elaB,788.364,761.33,784.063,1140.219,1043.564,624.681,779.85,520.752
b2267,elaA,41.296,33.46,38.787,50.798,40.733,31.031,38.655,36.407
b2268,rbn,22.893,25.645,27.425,24.288,24.493,24.763,23.626,25.658
b2269,elaD,3.279,1.167,1.373,0.86,2.164,1.253,2.092,2.308
b2270,yfbK,0.978,1.052,0.512,0.271,1.04,0.569,0.656,0.828
b2271,yfbL,0.153,0.26,0.161,0.107,0.15,0.138,0.333,0.067
b2272,yfbM,1.577,3.508,3.303,3.204,1.831,1.861,5.245,3.744
b2273,yfbN,0.554,0.634,0.145,0,0.61,0.125,0.376,1.815
b2274,yfbO,2.76,1.314,0.492,1.601,1.837,1.637,1.467,2.769
b2275,yfbP,4.535,2.499,1.47,2.209,5.034,3.34,5.751,4.598
b2276,nuoN,202.228,161.362,143.882,155.106,182.28,141.383,185.523,279.036
b2277,nuoM,191.834,140.429,123.478,131.498,147.58,116.544,149.852,247.235
b2278,nuoL,180.501,111.61,103.241,106.071,127.183,100.707,145.149,208.255
b2279,nuoK,192.34,97.869,89.268,98.602,119.726,94.851,144.32,206.369
b2280,nuoJ,221.697,119.834,108.952,124.934,142.497,100.751,163.463,230.667
b2281,nuoI,183.683,102.154,92.632,98.434,108.352,84.06,128.523,183.339
b2282,nuoH,182.377,108.941,101.904,113.752,132.532,96.881,157.225,212.168
b2283,nuoG,169.675,115.552,107.656,122.53,125.701,99.871,172.256,251.788
b2284,nuoF,175.508,132.734,132.12,140.789,137.615,117.329,193.876,305.083
b2285,nuoE,210.586,142.229,157.709,152.542,162.509,142.944,237.458,342.026
b2286,nuoC,212.633,156.45,171.499,154.293,166.312,151.291,222.876,353.33
b2287,nuoB,379.597,270.614,312.291,290.334,297.974,285.317,431.136,580.7
b2288,nuoA,569.293,391.918,418.646,439.641,452.824,389.433,657.279,762.051
b2289,lrhA,45.662,91.353,87.136,82.276,44.323,76.577,110.434,112.326
b2290,alaA,67.081,100.623,99.548,108.36,64.014,88.058,73.731,101.982
b2291,yfbR,24.883,26.017,25.228,24.181,23.351,22.889,30.349,35.136
b2292,yfbS,23.554,15.572,22.844,24.072,18.864,16.434,57.353,46.271
b2293,hxpA,72.847,108.254,102.114,110.512,92.129,77.112,184.194,179.51
b2294,yfbU,74.776,100.374,103.506,137.71,80.743,89.098,166.873,174.368
b2295,yfbV,93.974,87.134,83.385,105.39,108.842,94.71,121.158,109.73
b2296,ackA,331.369,1219.251,1157.516,1184.59,346.97,1065.33,423.932,497.877
b2297,pta,236.455,857.71,838.571,888.386,256.108,720.991,264.998,379.848
b2298,yfcC,10.224,34.177,37.755,41.101,12.995,26.045,42.034,33.71
b2299,yfcD,77.865,105.224,106.522,117.238,100.213,104.622,119.432,110.663
b2300,yfcE,73.004,88.658,80.039,90.533,76.433,86.909,100.372,96.194
b2301,yfcF,26.074,14.803,16.371,22.817,26.879,12.602,20.703,27.137
b2302,yfcG,10.427,7.289,9.031,11.818,11.391,5.721,10.158,10.443
b2303,folX,75.689,57.686,54.882,61.639,73.782,51.183,92.746,97.78
b2304,yfcH,67.245,43.512,43.492,43.209,57.717,41.165,84.068,99.894
b2305,rpnB,5.52,2.381,2.043,2.514,5.559,3.81,3.754,2.483
b2306,hisP,22.435,12.564,9.778,10.466,19.733,12.348,9.794,17.444
b2307,hisM,21.62,10.111,8.016,10.317,18.084,11.15,9.594,16.743
b2308,hisQ,38.402,26.068,19.648,21.005,33.224,21.128,23.992,29.74
b2309,hisJ,83.663,67.326,53.444,56.32,76.319,57.439,92.781,127.393
b2310,argT,90.484,33.679,12.688,19.893,80.071,20.705,30.387,37.395
b2311,ubiX,110.481,95.941,76.974,83.672,116.127,81.606,68.908,76.369
b2312,purF,301.032,462.539,411.947,428.498,318.815,380.817,280.623,338.068
b2313,cvpA,693.642,792.492,672.856,788.831,814.013,844.007,602.144,498.585
b2314,dedD,109.259,109.724,94.421,105.055,111.301,105.929,107.377,104.913
b2315,folC,72.353,90.368,76.712,79.846,72.367,80.419,77.975,81.706
b2316,accD,387.967,508.941,456.717,510.02,390.659,459.284,496.22,493.837
b2317,dedA,54.389,40.759,37.712,37.295,37.858,29.944,44.307,49.096
b2318,truA,39.448,29.019,26.328,35.948,31.241,27.687,38.756,36.015
b2319,usg,64.677,63.921,63.147,64.117,58.693,55.078,70.235,88.521
