Locus_tag,Gene_name,Rich_M9_ATC5_1.rep1,Rich_M9_ATC5_1.rep2,Rich_M9_ATC5_2.rep1,Rich_M9_ATC5_2.rep2,Rich_M9_No_ATC_1.rep1,Rich_M9_No_ATC_1.rep2,Rich_M9_No_ATC_2.rep1,Rich_M9_No_ATC_2.rep2
b0001,thrL,200.993,133.951,141.073,113.662,177.331,129.925,255.868,172.527
b0002,thrA,67.96,49.944,52.935,52.032,54.942,48.415,57.195,96.862
b0003,thrB,75.804,50.627,56.671,59.94,64.465,47.486,61.557,105.865
b0004,thrC,96.993,59.665,73.719,66.202,76.789,59.757,88.643,148.31
b0005,yaaX,41.319,25.685,25.745,19.996,41.206,17.895,25.251,28.919
b0006,yaaA,35.872,42.749,39.029,45.256,32.595,41.989,55.758,60.043
b0007,yaaJ,11.041,6.231,9.778,10.339,10.028,8.598,23.338,18.597
b0008,talB,569.227,713.616,727.296,780.881,544.942,659.253,956.676,1089.369
b0009,mog,83.567,65.64,65.551,65.207,81.848,57.574,73.589,87.31
b0010,satP,36.978,90.524,61.557,61.283,44.281,92.396,33.97,20.427
b0011,yaaW,1.044,1.167,1.967,1.35,1.224,1.689,1.587,2.643
b0012,mbiA,1.022,0.312,0,0.536,0.699,0.276,0.555,0.268
b0013,yaaI,1.472,0.936,0.514,0.322,0.839,0.882,1.066,0.964
b0014,dnaK,157.047,341.785,307.021,308.087,177.003,288.112,214.925,258.488
b0015,dnaJ,100.839,131.701,101.226,97.419,102.666,102.967,89.087,103.757
b0016,insL-1,34.134,38.777,33.804,37.943,36.433,30.978,39.313,46.729
b0018,mokC,10.883,5.894,6.935,10.667,13.297,8.826,16.443,9.915
b0019,nhaA,83.445,78.765,81.367,87.472,87.91,78.876,67.199,64.315
b0020,nhaR,52.426,44.134,37.978,43.269,54.326,35.936,36.594,42.193
b0021,insB-1,16.367,4.581,4.71,3.386,16.567,4.75,6.941,6.449
b0022,insA-1,53.322,22.713,15.35,16.119,59.695,25.799,20.7,25.001
b0023,rpsT,4916.805,4670.872,3895.872,4050.001,6199.228,6631.089,4102.879,2509.041
b0024,yaaY,14.86,6.459,8.907,6.661,18.627,6.628,14.658,13.221
b0025,ribF,170.623,155.31,147.544,146.469,183.892,155.083,183.108,196.135
b0026,ileS,226.178,243.806,236.149,246.661,214.313,203.824,230.291,308.441
b0027,lspA,226.688,208.3,181.845,200.435,206.96,183.203,201.588,239.961
b0028,fkpB,163.625,136.344,110.967,124.276,168.192,111.009,131.705,148.498
b0029,ispH,129.878,104.889,97.167,92.221,123.988,85.285,113.551,148.677
b0030,rihC,19.548,22.526,22.597,24.767,22.743,17.938,39.978,47.716
b0031,dapB,70.778,69.018,74.543,81.438,66.288,69.764,99.176,104.725
b0032,carA,1376.723,2030.793,1661.023,1704.812,1512.406,1956.936,767.057,1114.33
b0033,carB,1191.121,1476.558,1428.516,1344.659,1131.766,1417.498,443.89,812.425
b0034,caiF,117.811,180.515,181.399,189.963,112.212,172.782,80.112,83.963
b0035,caiE,4.834,4.53,3.124,3.482,4.478,4.081,3.469,2.697
b0036,caiD,3.887,2.957,4.864,4.275,5.344,4.318,3.569,2.608
b0037,caiC,11.702,13.296,12.753,10.962,12.016,11.079,11.804,10.342
b0038,caiB,12.033,9,7.815,7.87,11.543,8.195,9.745,11.325
b0039,caiA,15.518,11.801,14.949,12.192,15.933,15.708,13.547,10.645
b0040,caiT,0.689,0.3,0.361,0.464,0.673,0.766,0.463,0.644
b0041,fixA,0.322,0.852,0.337,0.743,0.535,0.608,0.28,0.844
b0042,fixB,0.58,0.67,0.718,0.608,0.644,0.498,0.745,0.829
b0043,fixC,0.579,0.746,0.404,0.405,0.453,0.59,0.503,0.531
b0044,fixX,0.345,0.088,0.181,0.09,0.674,0.62,0.843,0.339
b0045,yaaU,0.634,0.417,0.391,0.332,0.583,0.469,1.195,1.026
b0046,kefF,9.45,8.8,8.718,11.675,12.484,11.186,8.383,11.519
b0047,kefC,14.854,13.003,13.123,15.659,14.037,11.411,11.396,15.263
b0048,folA,74.733,158.502,128.848,115.695,78.714,130.45,105.546,86.757
b0049,apaH,69.192,51.597,51.43,53.486,61.41,43.708,57.921,67.615
b0050,apaG,247.301,185.903,175.932,171.101,246.544,166.123,213.885,205.1
b0051,rsmA,237.72,206.377,188.605,188.987,232.745,185.004,195.694,213.448
b0052,pdxA,147.37,98.971,94.548,93.245,135.292,91.173,106.407,134.604
b0053,surA,283.934,236.421,233.809,232.242,264.949,199.208,262.659,328.295
b0054,lptD,226.224,186.576,184.121,190.341,218.155,171.109,218.309,265.699
b0055,djlA,72.516,61.972,61.705,58.862,71.596,56.375,63.871,71.367
b0056,yabP,66.436,32.049,27.286,25.047,56.919,31.593,42.599,50.225
b0057,yabQ,118.585,77.208,72.462,67.822,145.691,81.037,103.834,87.78
b0058,rluA,67.073,57.561,59.897,55.016,64.972,51.835,50.928,56.392
b0059,rapA,41.446,45.462,47.775,42.078,41.881,44.616,44.302,60.188
b0060,polB,22.529,9.848,10.549,11.34,21.66,10.444,14.91,15.575
b0061,araD,0.464,0.327,0.523,1.422,1.535,0.898,0.698,1.122
b0062,araA,1.306,1.479,1.09,1.092,1.826,1.099,1.687,2.078
b0063,araB,0.716,0.475,0.443,0.505,0.671,0.578,0.983,1.148
b0064,araC,7.207,7.529,6.391,8.119,7.79,7.19,28.511,27.87
b0065,yabI,88.489,14.726,12.647,16.071,90.843,17.952,24.367,27.941
b0066,thiQ,28.254,27.355,21.283,23.514,30.604,25.621,26.205,25.18
b0067,thiP,26.399,24.036,17.742,21.423,25.246,22.303,28.869,30.534
b0068,thiB,52.234,60.735,53.1,53.472,49.798,61.569,78.215,81.632
b0069,sgrR,8.941,9.365,9.14,8.745,10.557,8.846,10.458,14.145
b0070,setA,13.148,12.212,14.206,13.874,11.657,12.444,14.598,16.833
b0071,leuD,20.62,11.463,10.386,9.972,23,8.402,19.097,32.051
b0072,leuC,15.657,8.005,6.367,8.478,14.42,6.264,12.535,22.943
b0073,leuB,19.132,9.692,8.574,9.971,15.676,6.646,13.044,21.749
b0074,leuA,13.859,4.82,4.98,5.302,12.218,4.801,8.718,16.495
b0075,leuL,2.855,4.645,1.794,4.192,4.466,4.107,11.163,2.244
b0076,leuO,2.103,1.176,1.376,2.26,2.518,1.276,2.969,2.616
b0077,ilvI,24.079,9.84,9.981,11.129,20.481,8.725,20.502,29.988
b0078,ilvH,26.66,9.241,11.418,11.806,23.344,7.171,26.264,34.65
b0080,cra,96.599,95.106,106.568,112.121,92.73,81.058,117.891,113.884
b0081,mraZ,189.155,150.455,139.559,137.729,178.278,145.808,177.14,143.886
b0082,rsmH,78.323,73.821,77.113,73.94,84.754,71.829,101.062,95.874
b0083,ftsL,120.883,80.885,81.079,80.278,119.552,76.206,157.51,150.402
b0084,ftsI,40.391,36.381,32.44,33.713,43.424,33.616,59.968,54.683
b0085,murE,88.366,74.199,63.726,68.83,88.936,65.597,108.033,100.181
b0086,murF,100.684,81.986,79.708,82.934,111.35,70.624,124.481,122.762
b0087,mraY,132.582,82.658,75.118,83.915,131.431,81.901,110.447,102.528
b0088,murD,149.655,86.749,76.345,81.604,138.501,76.725,117.021,112.966
b0089,ftsW,132.57,62.164,53.771,56.426,129.718,60.231,85.306,82.68
b0090,murG,149.167,75.305,61.659,61.778,137.097,71.969,104.117,99.855
b0091,murC,151.66,89.708,82.605,81.513,142.434,81.32,127.645,136.13
b0092,ddlB,182.281,124.24,115.243,119.038,175.589,113.036,181.337,176.516
b0093,ftsQ,172.936,79.608,78.744,81.434,164.48,77.258,124.072,113.535
b0094,ftsA,168.523,102.017,91.491,96.023,152.535,91.622,144.131,135.364
b0095,ftsZ,355.01,340.365,319.636,339.794,349.768,292.124,393.384,448.073
b0096,lpxC,1193.816,974.493,850.443,924.603,1230.915,873.337,1230.222,1107.281
b0097,secM,189.195,147.075,132.372,133.843,221.992,169.854,151.342,159.434
b0098,secA,233.317,156.746,166.159,162.205,212.049,141.677,188.686,260.294
b0099,mutT,62.423,38.796,34.477,26.649,58.214,32.752,44.2,42.711
b0101,yacG,104.511,136.758,130.828,133,121.654,142.331,149.052,163.162
b0102,zapD,48.849,68.92,63.552,69.705,54.699,65.672,83.54,92.266
b0103,coaE,33.923,35.957,30.405,32.13,35.035,36.247,51.086,39.659
b0104,guaC,114.168,261.303,249.866,278.938,118.99,234.432,169.559,201.123
b0106,hofC,5.493,2.499,2.032,2.122,5.591,2.339,5.001,3.786
b0107,hofB,8.012,4.447,3.228,4.83,7.831,3.158,4.107,4.155
b0108,ppdD,3.549,0.515,0.826,0.65,4.735,0.203,0.979,0.811
b0109,nadC,60.743,51.536,53.936,59.088,68.337,52.155,57.212,61.792
b0110,ampD,30.647,16.794,25.914,25.906,32.64,21.684,33.769,33.241
b0111,ampE,32.919,26.087,24.7,25.255,37.317,18.021,42.184,38.812
b0112,aroP,19.563,14.008,13.78,14.294,15.481,13.067,9.895,12.549
b0113,pdhR,637.9,657.799,425.306,497.934,770.734,657.9,154.242,196.393
b0114,aceE,1508.779,1449.757,1681.818,1216.413,1215.077,1710.475,345.925,813.539
b0115,aceF,1298.797,744.97,1017.717,613.501,945.26,976.92,447.599,900.942
b0116,lpd,1155.661,598.744,679.419,495.543,793.309,734.992,520.069,898.936
b0117,yacH,0.643,0.327,0.224,0.478,0.707,0.53,0.524,0.246
b0118,acnB,465.436,278.747,245.804,224.402,368.49,341.238,193.363,379.535
b0119,yacL,55.98,57.616,59.324,71.182,54.852,64.224,77.139,65.067
b0120,speD,288.915,310.896,296.294,260.574,239.306,286.004,230.607,350.178
b0121,speE,250.883,239.629,230.832,204.986,222.177,246.232,186.813,266.762
b0122,yacC,195.737,64.019,45.738,48.203,239.051,78.671,78.604,64.507
b0123,cueO,19.092,14.136,13.817,14.98,19.851,11.432,15.932,19.634
b0124,gcd,165.924,70.211,58.129,52.836,128.427,93.209,15.277,37.255
b0125,hpt,190.963,293.704,304.637,302.676,192.627,290.343,240.126,255.181
b0126,can,196.412,147.441,122.626,129.806,193.962,151.028,179.436,208.255
b0127,yadG,63.11,44.606,49.912,51.983,53.148,42.662,48.744,72.964
b0128,yadH,59.962,49.11,51.712,52.568,50.485,46.892,55.108,74.055
b0129,yadI,44.389,21.765,26.716,31.718,33.257,23.09,42.697,45.887
b0130,yadE,23.509,12.322,13.258,14.125,22.584,14.088,13.554,14.548
b0131,panD,188.303,353.365,372.303,371.776,203.305,362.217,390.557,325.679
b0132,rpnC,5.392,3.525,3.226,3.865,6.454,4.352,4.123,3.531
b0133,panC,142.724,185.294,194.541,203.397,143.155,169.945,228.477,273.329
b0134,panB,106.773,147.997,152.613,160.774,95.264,143.479,158.398,202.487
b0135,yadC,1.444,0.693,0.336,0.673,0.784,0.469,1.002,0.893
b0136,yadK,1.956,0.677,1.307,2.051,1.383,0.449,1.175,1.308
b0137,yadL,0.861,1.292,0.815,1.289,1.282,0.59,0.89,1.342
b0138,yadM,1.22,0.62,0.776,1.508,1.832,0.744,1.514,1.541
b0139,htrE,0.803,0.476,0.661,0.401,0.701,0.542,0.519,0.651
b0140,yadV,1.006,0.614,0,0,0.721,0.181,0.364,0.439
b0141,yadN,2.378,0.259,0.622,0.623,1.66,0.153,0.553,0.667
b0142,folK,90.983,71.042,62.257,62.026,89.893,76.065,85.538,84.655
b0143,pcnB,236.495,227.894,185.274,197.63,249.123,219.843,250.411,264.622
b0144,gluQ,15.141,14.169,10.437,10.959,16.266,10.696,20.138,21.724
b0145,dksA,457.068,439.989,405.405,425.9,444.155,381.976,849.582,687.275
b0146,sfsA,64.483,33.93,37.555,40.161,63.305,41.526,60.688,57.822
b0147,thpR,10.199,12.701,10.971,13.392,14.267,16.359,14.225,17.829
b0148,hrpB,23.104,23.347,19.843,22.146,25.201,20.658,28.864,28.651
b0149,mrcB,55.015,45.676,46.209,46.731,53.315,44.556,61.36,69.508
b0150,fhuA,141.534,48.279,84.561,58.305,124.839,66.007,380.328,344.46
b0151,fhuC,83.211,19.024,32.428,20.564,73.485,21.995,174.502,162.057
b0152,fhuD,43.634,8.958,14.828,8.887,44.013,12.306,106.18,84.42
b0153,fhuB,64.328,7.643,10.427,6.817,60.845,9.324,94.547,78.75
b0154,hemL,68.805,134.48,126.609,145.224,73.054,125.374,127.659,136.383
b0155,clcA,30.525,19.285,19.71,21.999,29.359,18.923,26.742,24.389
b0156,erpA,198.471,349.945,307.245,305.776,193.364,288.23,182.397,163.14
b0157,yadS,32.366,28.862,25.883,26.757,34.983,25.409,35.623,33.368
b0158,btuF,38.488,49.92,45.23,45.039,41.743,39.058,51.057,47.359
b0159,mtn,155.093,272.396,238.276,263.978,162.852,223.852,250.391,246.121
b0160,dgt,21.536,13.112,17.373,19.664,24.09,15.946,19.513,23.747
b0161,degP,163.451,83.063,80.013,93.15,170.74,67.196,67.773,90.775
b0162,cdaR,13.215,2.05,3.144,3.149,11.155,2.083,5.824,6.125
b0163,yaeH,119.395,80.282,90.591,98.537,106.288,70.743,165.623,149.302
b0164,yaeI,20.717,6.587,8.701,8.138,17.412,8.075,12.874,17.928
b0166,dapD,272.176,304.398,320.229,337.797,273.929,264.722,438.523,441.591
b0167,glnD,32.407,27.622,30.036,29.926,32.349,28.872,28.349,37.999
b0168,map,285.416,274.04,279.479,268.208,257.693,259.6,417.372,459.646
b0169,rpsB,3748.485,4626.25,4563.606,4248.623,3396.381,3996.552,4409.653,4420.734
b0170,tsf,1872.586,2366.728,2441.511,2190.441,1670.203,2104.817,2005.696,2386.8
b0171,pyrH,465.562,646.792,592.308,573.836,426.638,587.062,291.093,381.442
b0172,frr,997.147,1391.753,1318.016,1261.393,909.09,1187.899,1000.161,1070.115
b0173,dxr,62.592,42.985,39.675,36.253,45.501,40.725,45.479,51.858
b0174,ispU,426.093,288.062,229.634,240.41,443.956,283.297,317.558,302.068
b0175,cdsA,326.882,216.912,179.297,190.773,310.06,199.104,235.18,238.884
b0176,rseP,337.284,211.54,177.5,190.053,322.107,193.204,235.97,232.593
b0177,bamA,447.97,308.313,310.032,299.135,399.707,268.549,309.071,401.851
b0178,skp,918.995,863.755,930.721,925.332,859.707,801.293,1026.716,1219.881
b0179,lpxD,478.944,456.022,452.68,429.988,448.267,418.345,488.022,607.962
b0180,fabZ,425.144,451.954,391.83,358.097,399.692,398.087,478.123,467.387
b0181,lpxA,386.292,415.098,365.364,351.262,352.595,356.841,478.294,447.184
b0182,lpxB,151.019,134.145,107.563,111.853,154.461,120.342,159.722,154.061
b0183,rnhB,115.513,73.62,61.077,58.902,118.115,72.977,85.9,99.945
b0184,dnaE,118.218,77.402,70.094,65.654,113.713,76.187,98.503,90.633
b0185,accA,272.665,291.693,281.78,263.569,247.042,248.036,317.732,379.696
b0186,ldcC,22.383,13.361,13.478,15.042,21.992,9.737,18.06,17.391
b0187,yaeR,42.804,29.275,28.875,34.73,46.945,25.194,31.127,37.372
b0188,tilS,32.243,29.887,24.206,24.925,31.366,24.377,37.672,35.539
b0189,rof,172.724,151.853,181.342,190.198,143.215,101.058,209.147,217.657
b0190,yaeQ,57.054,42.053,42.584,52,61.06,44.825,44.319,54.223
b0191,arfB,48.862,38.695,37.075,33.375,45.808,32.467,48.15,53.685
b0192,nlpE,60.934,40.394,41.883,42.35,54.199,34.266,53.194,62.322
b0193,yaeF,12.948,7.991,6.526,6.946,13.245,7.498,8.404,11.397
b0194,proS,220.556,401.46,398.652,382.243,226.602,346.967,279.228,337.431
b0195,trmO,72.175,68.928,63.624,57.761,72.022,58.193,54.791,70.536
b0196,rcsF,97.466,118.002,108.27,106.377,107.56,100.737,75.534,92.621
b0197,metQ,96.232,131.621,155.219,132.472,91.831,118.824,146.222,191.654
b0198,metI,22.981,51.175,52.374,45.683,26.547,53.983,30.771,41.04
b0199,metN,11.265,37.522,43.473,39.601,12.164,37.24,18.481,21.815
b0200,gmhB,82.03,59.903,61.859,61.411,79.253,54.587,103.223,89.242
b0201,rrsH,0,0,0,0,0,0,0,0
b0202,ileV,0,0,0,0,0,0,0,0
b0203,alaV,0,0,0,0,0,0,0,0
b0204,rrlH,0,0,0,0,0,0,0,0
b0205,rrfH,0,0,0,0,0,0,0,0
b0206,aspU,0,0,0,0,0,0,0,0
b0207,dkgB,14.707,6.849,5.693,8.488,15.101,6.833,9.328,11.33
b0208,yafC,9.394,6.57,9.494,9.508,8.704,7.614,13.267,11.733
b0209,yafD,47.017,34.058,40.132,43.738,44.562,37.525,59.88,48.74
b0210,yafE,28.186,9.229,9.42,11.813,24.593,9.09,22.394,21.793
b0211,mltD,323.456,333.91,275.179,266.647,397.39,310.743,454.829,342.334
b0212,gloB,37.427,33.245,32.854,34.73,38.189,27.736,40.857,50.264
b0213,yafS,26.663,24.316,16.116,24.282,28.413,22.856,24.178,21.329
b0214,rnhA,77.392,43.178,37.456,32.392,72.223,36.264,67.787,48.94
b0215,dnaQ,58.1,81.437,66.441,70.03,55.862,63.088,89.922,83.379
b0216,aspV,0,0,0,0,0,0,0,0
b0217,yafT,10.24,3.728,3.177,3.645,10.256,3.466,3.775,5.298
b0218,yafU,0.879,0.149,0,0,2.435,0.263,0.398,0.384
b0219,yafV,35.313,23.392,28.538,30.135,36.281,26.357,46.955,34.601
b0220,ivy,99.682,110.416,136.624,148.482,107.475,103.363,114.963,106.936
b0221,fadE,4.206,2.087,1.681,2.237,3.158,2.539,3.906,2.794
b0222,lpcA,105.031,158.972,168.176,168.882,100.482,141.313,190.373,193.517
b0223,yafJ,62.493,59.202,56.757,60.031,62.222,51.698,82.194,101.329
b0224,yafK,199.405,113.923,101.715,104.471,206.248,105.416,148.535,177.201
b0225,yafQ,174.605,140.601,123.328,132.759,162.314,105.011,169.014,180.393
b0226,dinJ,99.843,104.037,90.38,107.184,128.108,125.429,123.41,92.615
b0227,yafL,3.511,2.088,1.942,2.084,2.59,1.727,2.662,2.082
b0228,rayT,7.981,7.101,7.103,9.206,7.021,6.278,13.542,13.98
b0229,lfhA,1.015,0.59,0.759,0.456,0.567,0.574,0.535,0.646
b0230,lafU,1.38,0.468,1.204,0.965,2.698,1.359,1.213,1.377
b0231,dinB,11.245,8.802,10.27,11.149,11.29,11.694,15.506,11.399
b0232,yafN,12.167,11.771,10.792,12.492,15.114,15.267,7.432,11.287
b0233,yafO,9.277,9.496,5.801,9.074,10.833,6.884,9.939,10.926
b0234,yafP,7.184,5.52,5.454,3.45,6.968,4.19,5.181,5.889
b0235,ykfJ,0.93,0.189,0.779,0.195,0,0.335,0.101,0.122
b0236,prfH,0.992,0.202,0.208,0.104,0.291,0.535,0.054,0.455
b0237,pepD,248.521,264.27,285.267,305.353,234.258,216.08,324.495,410.889
b0238,gpt,234.185,593.567,519.082,470.729,233.296,498.772,455.603,413.795
b0239,frsA,54.951,51.817,53.102,54.041,56.697,52.195,59.37,66.714
b0240,crl,307.158,151.566,110.766,130.296,267.083,148.348,148.784,152.81
b0241,phoE,0.612,0.144,0.246,0.493,0.276,0.338,0.46,1.047
b0242,proB,69.778,74.977,82.17,77.223,68.029,65.678,117.631,128.013
b0243,proA,69.434,83.533,76.738,83.564,67.83,62.986,140.304,155.352
b0244,thrW,0,0,0,0,0,0,0,0
b0245,ykfI,0.363,0.443,0,0,0.71,0.392,0.947,0.19
b0246,yafW,0.234,0.477,0.245,0.164,0.611,0,0.17,0
b0247,ykfG,0.104,0,0.109,0.218,0.051,0.609,0,0.136
b0248,yafX,0,0,0,0,0.053,0,0.47,0.567
b0249,ykfF,1.863,0.631,0.65,0,0.607,0.372,1.574,0.678
b0250,ykfB,22.666,13.763,14.171,15.306,20.806,13.504,27.207,26.347
b0251,yafY,3.637,1.707,2.402,4.283,4.703,1.811,3.402,1.685
b0252,yafZ,1.723,0.553,0.316,0.507,0.827,0.489,0.591,1.108
b0253,ykfA,14.232,6.022,5.117,3.557,14.445,6.72,9.866,10.694
b0254,perR,3.446,3.391,2.502,2.447,5.215,2.498,1.992,2.839
b0256,insI-1,8.007,6.605,7.725,7.384,8.761,5.768,10.141,11.491
b0258,ykfC,11.791,8.226,8.11,9.328,12.009,7.361,17.979,14.562
b0259,insH-1,38.433,32.577,29.738,32.798,35.122,25.94,64.706,75.659
b0260,mmuP,3.132,1.187,1.889,1.614,3.251,1.113,2.402,2.062
b0261,mmuM,9.399,6.822,6.802,7.342,9.89,6.175,16.51,19.492
b0262,afuC,4.223,1.037,1.341,1.468,2.597,1.6,3.298,2.61
b0263,afuB,3.915,0.796,1.639,1.493,5.218,2.048,3.015,2.61
b0264,insB-2,18.618,6.547,6.613,6.3,17.184,7.049,11.83,9.937
b0265,insA-2,20.651,13.32,9.646,12.754,22.36,12.374,13.113,11.971
b0266,yagB,13.306,13.457,9.558,11.874,14.943,11.261,16.601,15.108
b0267,yagA,0.258,0.219,0.315,0.677,0.547,0.348,0.234,0.563
b0268,yagE,2.214,1.306,1.202,1.232,1.897,0.737,4.986,8.303
b0269,yagF,3.623,2.554,2.22,3.375,3.615,2.065,7.457,8.431
b0270,yagG,0.934,1.187,0.338,1.017,0.808,0.904,1.209,2.188
b0271,yagH,1.203,1.678,1.84,1.552,1.658,1.331,1.976,3.817
b0272,xynR,13.616,20.234,16.311,19.15,14.332,23.243,22.107,20.746
b0273,argF,7.267,6.535,8.022,7.724,7.007,6.755,9.126,12.301
b0274,insB-3,19.061,6.748,6.613,6.248,16.654,6.916,12.633,9.421
b0275,insA-3,17.051,9.476,6.63,8.035,19.017,10.271,10.767,9.142
b0276,yagJ,13.371,6.487,6.609,9.465,14.198,8.542,13.12,11.111
b0277,yagK,2.536,2.337,2.821,3.739,4.492,3.562,3.872,3.321
b0278,yagL,4.478,2.457,3.349,2.422,4.238,2.14,4.245,4.235
b0279,yagM,1.278,0.65,0.548,0.762,1.193,0.131,0.694,1.256
b0280,yagN,72.441,58.709,53.962,65.089,66.403,63.347,63.985,62.338
b0281,intF,12.057,13.45,12.735,16.064,12.791,11.923,16.713,20.9
b0282,yagP,4.05,3.995,1.962,2.472,4.785,2.554,2.1,4.987
b0283,paoD,2.648,1.61,1.957,1.878,2.715,1.657,3.665,1.87
b0284,paoC,1.909,1.218,1.301,1.019,2.341,1.554,1.558,2.175
b0285,paoB,0.96,0.633,1.169,1.007,2.081,0.863,1.156,1.224
b0286,paoA,0.9,1.098,0.452,1.095,1.126,1.618,2.189,1.933
b0287,yagU,82.725,80.173,76.628,91.992,78.886,67.247,125.101,151.824
b0288,ykgJ,4.517,3.98,4.413,2.842,3.826,4.195,4.087,4.141
b0289,ecpE,6.429,3.659,3.073,3.48,5.43,3.58,6.564,4.347
b0290,ecpD,3.022,2.043,3.037,2.884,4.106,3.029,2.904,3.424
b0291,ecpC,1.652,1.28,1.009,1.217,1.355,1.3,1.324,1.121
b0292,ecpB,0.891,1.435,1.011,1.129,0.581,0.868,1.29,2.14
b0293,ecpA,9.041,6.873,7.962,10.277,6.194,9.798,11.699,14.496
b0294,ecpR,0.168,0,0.088,0.529,0.082,0.151,0.867,1.156
b0295,ykgL,3.922,3.324,1.369,3.199,3.195,2.351,4.733,1.142
b0296,ykgM,1.694,2.296,1.281,2.171,3.219,3.299,1.737,3.574
b0297,eaeH,0.28,0.017,0,0.182,0.208,0.055,0.14,0.147
b0298,insE-1,9.606,10.424,9.935,12.815,13.841,14.068,11.978,11.452
b0299,insF-1,6.682,6.946,5.706,6.231,5.73,4.914,8.096,8.195
b0300,ykgA,6.957,5.103,4.937,5.915,7.154,4.486,6.188,7.463
b0301,rclC,1.171,1.191,1.095,0.789,1.921,1.429,1.135,1.369
b0303,rclB,1.048,1.279,1.866,0.879,0.922,1.508,1.252,0.412
b0304,rclA,1.461,3.01,3.217,3.339,2.088,2.122,2.604,2.601
b0305,rclR,0.93,1.477,1.034,2.254,1.25,1.149,1.956,0.761
b0306,ykgE,0.794,2.736,4.515,4.45,1.686,2.419,2.922,5.242
b0307,ykgF,4.593,4.67,4.244,5.819,3.996,3.456,6.65,7.359
b0308,ykgG,10.601,7.694,5.456,9.206,7.361,5.037,10.62,11.546
b0310,ykgH,4.01,0.302,0.467,0.156,2.686,0.534,0.323,1.459
b0311,betA,31.279,7.165,4.747,5.596,18.309,9.568,8.572,15.206
b0312,betB,58.116,12.364,8.74,8.205,46.355,17.828,9.761,20.496
b0313,betI,110.436,15.25,9.023,11.473,91.759,27.572,14.498,19.642
b0314,betT,91.16,9.115,5.063,6.941,69.312,12.033,7.533,11.644
b0315,pdeL,8.897,6.727,4.872,5.741,6.243,6.357,9.611,7.708
b0316,yahB,13.499,5.74,5.742,6.142,14.314,6.51,7.922,7.95
b0317,yahC,0.748,0.304,0.627,0.628,0.39,0.359,0.975,1.176
b0318,yahD,3.607,4.21,3.047,3.997,4.207,2.837,4.452,5.046
b0319,yahE,0.863,0.672,0.512,0.844,0.927,0.336,0.687,0.753
b0320,yahF,0.979,0.914,0.218,0.724,0.737,0.418,0.732,0.82
b0321,yahG,1.26,0.908,0.935,0.514,0.736,0.504,0.875,0.963
b0322,yahH,0.502,0.425,1.576,0.877,1.635,1.579,0.545,1.643
b0323,yahI,0.731,0.398,0.711,0.411,0.332,0.423,1.021,0.753
b0324,yahJ,7.885,7.36,8.425,8.758,7.111,7.976,10.845,12.421
b0325,yahK,51.955,46.188,47.112,58.694,49.997,33.56,42.237,45.609
b0326,yahL,1.096,0.124,0.191,0,0.714,0,0.198,0.159
b0327,yahM,14.138,5.339,5.075,2.541,16.978,4.72,2.413,1.323
b0328,yahN,0.739,0.977,0.929,1.395,2.023,0.798,3.854,1.937
b0329,yahO,71.465,141.306,163.021,241.789,126.512,166.187,155.213,121.412
b0330,prpR,1.19,0.796,0.524,0.722,1.469,0.957,0.238,0.205
b0331,prpB,0.446,0.454,0.234,0.409,0.6,0.351,0.363,0.146
b0333,prpC,0.127,0.043,0.178,0.178,0.208,0.21,0.184,0.278
b0334,prpD,0.65,0.139,0.072,0.628,0.334,0.292,0.334,0.358
b0335,prpE,1.975,1.178,0.855,0.87,1.184,0.923,1.487,1.138
b0336,codB,453.798,1086.352,939.63,999.71,481.127,1080.212,316.781,444.757
b0337,codA,631.513,1362.233,1292.174,1280.408,625.049,1262.321,380.36,557.609
b0338,cynR,4.858,5.669,6.126,8.393,4.748,6.352,6.055,7.88
b0339,cynT,1.731,1.799,1.261,2.171,0.809,1.184,0.409,1.035
b0340,cynS,1.477,2.306,3.203,2.931,2.784,2.039,2.463,2.003
b0341,cynX,2.495,3.018,2.432,2.436,3.364,1.779,2.593,3.098
b0342,lacA,1.218,1.733,0.425,1.405,1.666,1.824,1.058,1.701
b0343,lacY,0.317,0.322,0.124,0.893,0.503,0.249,0.688,1.193
b0344,lacZ,1.583,0.871,1.049,0.745,1.437,0.799,0.983,1.862
b0345,lacI,27.64,20.735,19.572,20.011,26.681,23.032,23.041,21.99
b0346,mhpR,8.072,3.241,1.778,3.373,5.124,5.65,2.943,3.043
b0347,mhpA,0.463,0.319,0.187,0.282,0.773,0.443,0.259,0.313
b0348,mhpB,0.973,0.508,0.495,0.221,0.308,0.378,0.171,0.275
b0349,mhpC,0.802,0.291,0.48,0.631,1.148,0.695,1.307,1.276
b0350,mhpD,1.196,0.904,0.706,0.193,1.019,0.662,0.4,1.366
b0351,mhpF,1.437,0.664,0.711,0.438,1.047,1.338,1.674,1.711
b0352,mhpE,1.568,0.947,0.821,0.745,1.796,0.903,1.516,1.412
b0353,mhpT,2.583,1.459,0.901,1.762,2.604,1.105,3.25,4.08
b0354,yaiL,61.369,60.716,56.062,56.726,59.176,54.008,75.135,80.009
b0355,frmB,15.846,20.686,22.921,27.141,14.936,16.199,17.467,24.849
b0356,frmA,44.312,57.254,58.131,62.631,39.748,43.153,48.509,60.085
